1,CDFH3301061995000003,영업/정상,영업중,02-738-7861,,서울특별시 종로구 내자동 1-3번지 ,서울특별시 종로구 자하문로 3 (내자동),03041,경복궁휘트니스,체력단련장업,사립
2,CDFH3301062001000004,영업/정상,영업중,02-733-3457,110062,서울특별시 종로구 신문로2가 12-5번지 신문로빌딩4층 ,서울특별시 종로구 새문안로 38 (신문로2가),03184,바디발란스휘트니스,체력단련장업,사립
3,CDFH3301062002000001,영업/정상,영업중,,,서울특별시 종로구 낙원동 150-1번지 파고다빌딩 ,서울특별시 종로구 수표로26길 12 (낙원동),03139,파고다,체력단련장업,사립
4,CDFH3301062002000002,영업/정상,영업중,02-740-4211,,서울특별시 종로구 원남동 66-21번지 보령빌딩 ,서울특별시 종로구 창경궁로 136 (원남동),03127,보령헬스피아,체력단련장업,사립
5,CDFH3301062007000001,영업/정상,영업중,02-2250-7141,,서울특별시 종로구 숭인동 1388번지 동양파라빌 ,"서울특별시 종로구 난계로 251, 지하1층 (숭인동)",03116,제이휘트니스,체력단련장업,사립
6,CDFH3301062007000003,영업/정상,영업중,02-747-9686,110524,서울특별시 종로구 명륜4가 188-4번지 동화빌딩 4층 ,서울특별시 종로구 창경궁로 234 (명륜4가),03079,바디스타3,체력단련장업,사립
7,CDFH3301062004000002,영업/정상,영업중,02-741-9696,,서울특별시 종로구 혜화동 185번지 중원빌딩 ,"서울특별시 종로구 대학로 144, 3층 (혜화동)",03084,바디스타휘트니스클럽,체력단련장업,사립
8,CDFH3301062004000005,영업/정상,영업중,744-3373,110460,서울특별시 종로구 연건동 198-7번지 ,서울특별시 종로구 율곡로 202-7 (연건동),03127,제일메가스포,체력단련장업,사립
9,CDFH3301062005000001,영업/정상,영업중,02-741-3303,110522,서울특별시 종로구 명륜2가 211번지 유니지오 빌딩 6층 ,서울특별시 종로구 성균관로 12 (명륜2가),03074,AB휘트니스클럽,체력단련장업,사립
10,CDFH3301062006000001,영업/정상,영업중,02-737-7797,110111,서울특별시 종로구 관철동 155번지 종로1번가빌딩 지하2층 ,"서울특별시 종로구 청계천로 67, 지하2층 (관철동, 종로1번가빌딩)",03189,인어스(INUS),체력단련장업,사립
11,CDFH3301062006000003,영업/정상,영업중,02-733-0114,,서울특별시 종로구 내수동 72번지 경희궁의아침 3단지 ,"서울특별시 종로구 사직로8길 34, B2층 (내수동)",03174,주-스포짐,체력단련장업,사립
12,CDFH3301062019000005,영업/정상,영업중,02-6370-5154,,서울특별시 종로구 공평동 5-1번지 ,"서울특별시 종로구 우정국로 26, 센트로폴리스 빌딩 3층 (공평동)",03161,센트로폴리스 피트니스,체력단련장업,사립
13,CDFH3301062019000006,영업/정상,영업중,,,서울특별시 종로구 관철동 7-5번지 ,"서울특별시 종로구 삼일대로17길 8, 대신빌딩  (관철동)",03190,아지트,체력단련장업,사립
14,CDFH3301062019000002,영업/정상,영업중,,,서울특별시 종로구 내수동 95번지 경희궁 파크팰리스 ,"서울특별시 종로구 사직로8길 20, B1층 109호 (내수동, 경희궁 파크팰리스)",03174,한상현GYM,체력단련장업,사립
15,CDFH3301062019000003,영업/정상,영업중,,,서울특별시 종로구 관철동 180번지 스타골드빌딩 ,"서울특별시 종로구 삼일대로17길 51, 스타골드빌딩 B1층 (관철동)",03189,리썸,체력단련장업,사립
16,CDFH3301062010000002,영업/정상,영업중,02-742-0747,,서울특별시 종로구 창신동 23-76번지 브라운스톤 지하1층 ,"서울특별시 종로구 지봉로 81, 지하1층 (창신동, 브라운스톤 창신)",03095,스톤휘트니스,체력단련장업,사립
17,CDFH3301062016000006,영업/정상,영업중,02-765-4202,,서울특별시 종로구 연건동 28-2번지 학생관5 2층 ,"서울특별시 종로구 대학로 103, 2층 (연건동, 학생관5)",03080,필웨이,체력단련장업,사립
18,CDFH3301062016000007,영업/정상,영업중,,,서울특별시 종로구 종로3가 119번지 지하1층 ,"서울특별시 종로구 종로 120, 지하1층 (종로3가, 동영타워)",03192,원알엠피트니스,체력단련장업,사립
19,CDFH3301062017000001,영업/정상,영업중,02-395-0653,,서울특별시 종로구 평창동 158-1번지 ,"서울특별시 종로구 평창문화로 75, B동 3층 301호 (평창동, 글로리아타운)",03009,PT.ROOT,체력단련장업,사립
20,CDFH3301062017000002,영업/정상,영업중,,,서울특별시 종로구 내수동 95번지 경희궁 파크팰리스 ,"서울특별시 종로구 사직로8길 20, 112호 (내수동, 경희궁 파크팰리스)",03174,몬스터짐 광화문본점,체력단련장업,사립
21,CDFH3301062018000001,영업/정상,영업중,02-396-0653,,서울특별시 종로구 구기동 95-16번지 ,서울특별시 종로구 진흥로22길 8-1 (구기동),03012,피티루트,체력단련장업,사립
22,CDFH3301062018000002,영업/정상,영업중,02-395-2234,,서울특별시 종로구 평창동 158-1번지 글로리아타운 ,"서울특별시 종로구 평창문화로 75, 글로리아타운 2층 203~204호 (평창동)",03009,로얄EMS.PT,체력단련장업,사립
23,CDFH3301062019000001,영업/정상,영업중,02-739-9618,,서울특별시 종로구 신문로1가 116번지 에스타워 ,"서울특별시 종로구 새문안로 82, 에스타워 지하1층 (신문로1가)",03185,스포애니 광화문역점,체력단련장업,사립
24,CDFH3301062016000001,영업/정상,영업중,070-7664-9682,,서울특별시 종로구 내수동 95번지 107호,"서울특별시 종로구 사직로8길 20, 107호 (내수동, 파크팰리스)",03174,바디밸런스,체력단련장업,사립
25,CDFH3301062016000003,영업/정상,영업중,070-7534-9682,,서울특별시 종로구 사직동 9번지 ,"서울특별시 종로구 사직로8길 4, 301동 B108호 (사직동, 광화문풍림스페이스본)",03168,100일 PT 샵,체력단련장업,사립
26,CDFH3301062016000004,영업/정상,영업중,,,서울특별시 종로구 삼청동 12번지 ,서울특별시 종로구 삼청로 135 (삼청동),03049,디앤브이 피트니스,체력단련장업,사립
27,CDFH3301062018000006,영업/정상,영업중,02-722-3770,,서울특별시 종로구 교남동 47번지 ,"서울특별시 종로구 경교장1길 15, 3층 (교남동)",03180,더타임,체력단련장업,사립
28,CDFH3301062018000007,영업/정상,영업중,027204720,,서울특별시 종로구 필운동 227번지 ,"서울특별시 종로구 사직로 97, 7층 (필운동)",03041,종로테니스교실,체력단련장업,사립
29,CDFH3301062010000003,영업/정상,영업중,02-2278-0555,,서울특별시 종로구 관수동 21-7번지 국일관드림팰리스 지상10층 ,"서울특별시 종로구 수표로 96, 10층 (관수동, 국일관 드림팰리스)",03192,바디스타 짐,체력단련장업,사립
30,CDFH3301062010000004,영업/정상,영업중,,110530,서울특별시 종로구 혜화동 109-4번지 지상3층 ,서울특별시 종로구 혜화로 4 (혜화동),03076,바디팩토리,체력단련장업,사립
31,CDFH3301062011000001,영업/정상,영업중,,,서울특별시 종로구 사직동 9번지 광화문풍림스페이스본 ,"서울특별시 종로구 사직로8길 4, 301동 지하2층 (사직동, 광화문풍림스페이스본)",03168,스페이스본 휘트니스센터,체력단련장업,사립
32,CDFH3301062011000002,영업/정상,영업중,02-924-0251,110827,서울특별시 종로구 숭인동 766번지 종로청계힐스테이트 상가 나동 B01호 ,서울특별시 종로구 숭인동길 21 (숭인동),03112,착한휘트니스(신설동점),체력단련장업,사립
33,CDFH3301062014000002,영업/정상,영업중,739-3392,110122,서울특별시 종로구 종로2가 19번지 ,서울특별시 종로구 종로 83 (종로2가),03164,휴먼웰니스 피티 짐,체력단련장업,사립
34,CDFH3301062015000002,영업/정상,영업중,02-3414-2077,110777,서울특별시 종로구 세종로 100번지 ,"서울특별시 종로구 세종대로 178 (세종로, 광화문빌딩 west)",03154,(재)케이티그룹희망나눔재단 광화문-west,체력단련장업,사립
35,CDFH3301062015000003,영업/정상,영업중,02-725-2711,,서울특별시 종로구 통의동 66번지 ,"서울특별시 종로구 자하문로 18-1, 지하1층 (통의동)",03044,711GYM,체력단련장업,사립
36,CDFH3301062015000004,영업/정상,영업중,733-7980,110110,서울특별시 종로구 서린동 88번지 관정빌딩 지하2층 ,"서울특별시 종로구 청계천로 35, 지하2층 (서린동, 관정빌딩)",03188,스포짐,체력단련장업,사립
37,CDFH3301062015000006,영업/정상,영업중,,,서울특별시 종로구 평창동 150-5번지 ,"서울특별시 종로구 평창문화로 98, 3층 (평창동, 행운빌딩)",03011,워너짐,체력단련장업,사립
38,CDFH3301062018000003,영업/정상,영업중,,,서울특별시 종로구 이화동 21번지 ,"서울특별시 종로구 율곡로17길 8, 풍임빌딩 2층 (이화동)",03100,필라테스.피티.시도하다,체력단련장업,사립
39,CDFH3301062018000004,영업/정상,영업중,027320020,,서울특별시 종로구 견지동 110번지 종로1가 대성 스카이렉스 ,"서울특별시 종로구 삼봉로 95, 종로1가 대성 스카이렉스 지하1층 비101-112호 (견지동)",03150,(주)케이에스스포짐,체력단련장업,사립
40,CDFH3301062018000005,영업/정상,영업중,02-747-1622,,서울특별시 종로구 창신동 23-816번지 창신이수아파트 ,"서울특별시 종로구 지봉로 87, 지하1층 101호 (창신동, 창신이수아파트)",03095,클래식바디짐,체력단련장업,사립
41,CDFH3301062010000001,영업/정상,영업중,02-391-3335,110846,서울특별시 종로구 평창동 76번지 지하1층 ,서울특별시 종로구 평창24길 12 (평창동),03010,M2 GYM,체력단련장업,사립
42,CDFH3301062016000002,영업/정상,영업중,02-732-1020,,서울특별시 종로구 종로1가 24번지 ,"서울특별시 종로구 종로 19, 4층 415~416호 (종로1가, 르메이에르종로타운)",03157,다함PT,체력단련장업,사립
43,CDFH3301062020000005,영업/정상,영업중,02-747-8296,,서울특별시 종로구 내자동 5번지 목천빌딩 ,"서울특별시 종로구 사직로 119, 목천빌딩 7층 (내자동)",03041,홍핏(HONG FIT),체력단련장업,사립
44,CDFH3301062020000003,영업/정상,영업중,,,서울특별시 종로구 소격동 48번지 ,"서울특별시 종로구 삼청로 54, 3층 (소격동)",03053,Wellness K(웰니스 케이),체력단련장업,사립
45,CDFH3301062020000004,영업/정상,영업중,,,서울특별시 종로구 교남동 47-3번지 ,서울특별시 종로구 통일로 158 (교남동),03180,짐피닉스,체력단련장업,사립
46,CDFH3301062020000001,영업/정상,영업중,070-8263-1157,,서울특별시 종로구 내수동 167번지 대우빌딩 ,"서울특별시 종로구 새문안로3길 30, 대우빌딩 114호 (내수동)",03173,RUN 광화문,체력단련장업,사립
47,CDFH3301062020000002,영업/정상,영업중,02-6353-7712,,서울특별시 종로구 원남동 49-17번지 오라카이 대학로 호텔 ,"서울특별시 종로구 율곡로 180, 오라카이 대학로 호텔 4층 (원남동)",03127,금보개발(주)오라카이 대학로 호텔,체력단련장업,사립
48,CDFH3301062012000001,휴업,휴업,02-730-5627,,서울특별시 종로구 관철동 45-1번지 대왕빌딩 ,"서울특별시 종로구 우정국로2길 21, 대왕빌딩 9층 (관철동)",03189,토브짐,체력단련장업,사립
49,CDFH3301061992000003,폐업,폐업,,110350,서울특별시 종로구 운니동 114-2번지 ,서울특별시 종로구 율곡로 78  (운니동),,중앙일보문화센터,체력단련장업,사립
50,CDFH3301061993000001,폐업,폐업,02-743-4016,110470,서울특별시 종로구 연지동 170번지 ,서울특별시 종로구 종로31길 54 (연지동),,우진체육관,체력단련장업,사립
51,CDFH3301061993000002,폐업,폐업,,110090,서울특별시 종로구 교북동 10-10번지 ,서울특별시 종로구 통일로 206  (교북동),,승리헬스,체력단련장업,사립
52,CDFH3301061994000001,폐업,폐업,,110121,서울특별시 종로구 종로1가 21번지 ,,,개선헬스,체력단련장업,사립
53,CDFH3301061998000001,폐업,폐업,,110470,서울특별시 종로구 연지동 1-30번지 ,서울특별시 종로구 율곡로 194  (연지동),,은석스포츠센타,체력단련장업,사립
54,CDFH3301061998000002,폐업,폐업,,110470,서울특별시 종로구 연지동 1-30번지 ,서울특별시 종로구 율곡로 194  (연지동),,은석스포츠센타,체력단련장업,사립
55,CDFH3301061998000003,폐업,폐업,,110470,서울특별시 종로구 연지동 1-30번지 ,서울특별시 종로구 율곡로 194  (연지동),,주)남중개발,체력단련장업,사립
56,CDFH3301061999000003,폐업,폐업,,110813,서울특별시 종로구 무악동 45-0번지 무악현대프라자상가4층 ,,,나비스포렉스(주),체력단련장업,사립
57,CDFH3301061999000004,폐업,폐업,02-2275-9889,,서울특별시 종로구 종로5가 314-7번지 청오가방도매상가 ,"서울특별시 종로구 청계천로 229, 6층 (종로5가)",03196,한일휘트니스,체력단련장업,사립
58,CDFH3301061994000002,폐업,폐업,02-742-7953,,서울특별시 종로구 효제동 247-3번지 ,서울특별시 종로구 대학로2길 3 (효제동),03126,청우헬스,체력단련장업,사립
59,CDFH3301061995000001,폐업,폐업,02-2274-0798,,서울특별시 종로구 종로5가 138-2번지 ,서울특별시 종로구 종로 214 (종로5가),03195,종로헬스,체력단련장업,사립
60,CDFH3301061995000002,폐업,폐업,,110836,서울특별시 종로구 종로5가 490-0번지 8층 ,"서울특별시 종로구 청계천로 247 (종로5가,8층)",,로얄,체력단련장업,사립
61,CDFH3301061996000001,폐업,폐업,,110809,서울특별시 종로구 동숭동 1-8번지 ,서울특별시 종로구 동숭길 130-5  (동숭동),,우리들헬스,체력단련장업,사립
62,CDFH3301061996000002,폐업,폐업,,110123,서울특별시 종로구 종로3가 13-4번지 5층 ,"서울특별시 종로구 종로 119  (종로3가,5층)",,월드남여헬스크럽,체력단련장업,사립
63,CDFH3301062000000002,폐업,폐업,,110522,서울특별시 종로구 명륜2가 34-0번지 ,서울특별시 종로구 대명길 22  (명륜2가),,명륜헬스,체력단련장업,사립
64,CDFH3301062001000001,폐업,폐업,,110061,서울특별시 종로구 신문로1가 20-0번지 ,서울특별시 종로구 새문안로 91  (신문로1가),,피사프코리아,체력단련장업,사립
65,CDFH3301062001000003,폐업,폐업,394-8521,110846,서울특별시 종로구 평창동 76번지 ,서울특별시 종로구 평창24길 12  (평창동),,귀빈휘트니스클럽,체력단련장업,사립
66,CDFH3301062008000001,폐업,폐업,02-733-8111,110080,서울특별시 종로구 무악동 82번지 무악현대프라자 4층 ,서울특별시 종로구 통일로 246-10 (무악동),03025,나비스포렉스(주),체력단련장업,사립
67,CDFH3301062009000001,폐업,폐업,737-7881,110111,서울특별시 종로구 관철동 45-1번지 지상10층 ,"서울특별시 종로구 우정국로2길 21  (관철동,지상10층)",,"아메리카 골프,헬스",체력단련장업,사립
68,CDFH3301061989000001,폐업,폐업,,110825,서울특별시 종로구 숭인동 201-5번지 ,서울특별시 종로구 종로66가길 6  (숭인동),,종로헬스,체력단련장업,사립
69,CDFH3301061989000002,폐업,폐업,02-765-4738,,서울특별시 종로구 종로6가 210-11번지 ,서울특별시 종로구 종로41길 48 (종로6가),03124,우진헬스,체력단련장업,사립
70,CDFH3301061992000001,폐업,폐업,02-763-7715,110841,서울특별시 종로구 창신동 407-4번지 ,서울특별시 종로구 종로44길 82 (창신동),,청송헬스,체력단련장업,사립
71,CDFH3301062002000004,폐업,폐업,02-730-9717,110140,서울특별시 종로구 수송동 83-1번지 삼성생명빌딩 지하1층 ,"서울특별시 종로구 율곡로2길 19 (수송동,삼성생명빌딩 지하1층)",,(주)젠스타서비스 스포존,체력단련장업,사립
72,CDFH3301062002000005,폐업,폐업,,110420,서울특별시 종로구 관수동 20-0번지 ,서울특별시 종로구 수표로 96  (관수동),,국일관게임파크,체력단련장업,사립
73,CDFH3301062002000006,폐업,폐업,,110845,서울특별시 종로구 충신동 189-20번지 ,서울특별시 종로구 율곡로22나길 24  (충신동),,대동체육관,체력단련장업,사립
74,CDFH3301062002000007,폐업,폐업,,110825,서울특별시 종로구 숭인동 200-25번지 ,서울특별시 종로구 종로 384  (숭인동),,종로헬스크럽,체력단련장업,사립
75,CDFH3301062002000008,폐업,폐업,,110470,서울특별시 종로구 연지동 1-7번지 은석빌딩 서관 지하2층 ,"서울특별시 종로구 율곡로 194  (연지동,은석빌딩 서관 지하2층)",,오륜 스포츠센터,체력단련장업,사립
76,CDFH3301062002000009,폐업,폐업,,110111,서울특별시 종로구 관철동 19-7번지 ,서울특별시 종로구 삼일대로17길 40  (관철동),,종로헬스,체력단련장업,사립
77,CDFH3301062003000001,폐업,폐업,730-7041,110110,서울특별시 종로구 서린동 149번지 갑을빌딩 B1 ,"서울특별시 종로구 청계천로 11  (서린동,갑을빌딩 B1)",,그랜드 스포츠,체력단련장업,사립
78,CDFH3301062005000002,폐업,폐업,02-394-5010,110846,서울특별시 종로구 평창동 76번지 ,서울특별시 종로구 평창24길 12 (평창동),110846,귀빈스포츠,체력단련장업,사립
79,CDFH3301062005000003,폐업,폐업,,110754,서울특별시 종로구 연지동 1-7번지 로담코센터 서관 (지하2층) ,서울특별시 종로구 율곡로 194 (연지동),110754,서울스포피아,체력단련장업,사립
80,CDFH3301062019000004,폐업,폐업,02-725-7411,,서울특별시 종로구 체부동 32-2번지 영해빌딩 ,"서울특별시 종로구 자하문로 21, 영해빌딩 5층 502호 (체부동)",03040,CA스포츠,체력단련장업,사립
81,CDFH3301062016000005,폐업,폐업,02-744-7561,,서울특별시 종로구 명륜3가 122-1번지 지하1층 ,"서울특별시 종로구 성균관로 15-8, 지하1층 (명륜3가)",03073,태닝&PT샵,체력단련장업,사립
82,CDFH3301062014000001,폐업,폐업,395-2230,110847,서울특별시 종로구 평창동 158-1번지 ,서울특별시 종로구 평창문화로 75 (평창동),03009,로얄휘트니스 스튜디오 서울,체력단련장업,사립
83,CDFH3301062015000001,폐업,폐업,720-1387,110032,서울특별시 종로구 신교동 58-1번지 ,서울특별시 종로구 자하문로 85 (신교동),03035,서촌 휘트니스,체력단련장업,사립
84,CDFH3301062015000005,폐업,폐업,02-722-3122,,서울특별시 종로구 관철동 ,"서울특별시 종로구 삼일대로17길 52, 5층 (관철동, 삼보주단)",03189,PT박스,체력단련장업,사립
85,CDFH3301062015000007,폐업,폐업,,,서울특별시 종로구 인의동 48-2번지 ,"서울특별시 종로구 종로 183, 지하2층 (인의동, 효성주얼리시티)",03130,멋짐 퍼스널 트레이닝,체력단련장업,사립
86,CDFH3301061992000002,폐업,폐업,,,서울특별시 종로구 종로5가 265-12번지 ,서울특별시 종로구 종로 252-6 (종로5가),03197,용림헬스,체력단련장업,사립
87,CDFH3301061999000002,폐업,폐업,,110100,서울특별시 종로구 교남동 6-0번지 ,서울특별시 종로구 통일로 144  (교남동),,월드헬스클럽,체력단련장업,사립
88,CDFH3301061990000001,폐업,폐업,,110836,서울특별시 종로구 종로5가 182-6번지 ,서울특별시 종로구 동호로 406-2 (종로5가),03196,로타리헬스,체력단련장업,사립
89,CDFH3301061997000003,취소/말소/만료/정지/중지,직권말소,,110100,서울특별시 종로구 교남동 75번지 ,서울특별시 종로구 통일로 176 (교남동),,국민헬스,체력단련장업,사립
90,CDFH3301061998000005,취소/말소/만료/정지/중지,직권말소,02-742-2211,110320,서울특별시 종로구 낙원동 172-0번지 ,서울특별시 종로구 수표로 114 (낙원동),,대한,체력단련장업,사립
91,CDFH3301061999000001,취소/말소/만료/정지/중지,직권말소,,110130,서울특별시 종로구 청진동 201-1번지 진학회관8층 ,"서울특별시 종로구 종로3길 38 (청진동,진학회관8층)",,파워라인 휘트니스,체력단련장업,사립
92,CDFH3301062004000001,취소/말소/만료/정지/중지,직권말소,02-741-2225,110842,"서울특별시 종로구 창신동 440-6번지 3,4층 ",서울특별시 종로구 율곡로 307 (창신동),03119,영 휘트니스,체력단련장업,사립
93,CDFH3301061997000001,취소/말소/만료/정지/중지,직권말소,02-764-5636,110123,서울특별시 종로구 종로3가 10번지 6층 ,"서울특별시 종로구 종로 115 (종로3가,6층)",,서울헬스피아,체력단련장업,사립
94,CDFH3301062000000001,취소/말소/만료/정지/중지,직권말소,02-765-2122,110521,서울특별시 종로구 명륜1가 16-21번지 ,서울특별시 종로구 성균관로 58 (명륜1가),,성대헬스,체력단련장업,사립
95,CDFH3301062001000002,취소/말소/만료/정지/중지,직권말소,,,서울특별시 종로구 적선동 122-1번지 한국생산성본부 ,"서울특별시 종로구 새문안로5가길 32, 1층 (적선동)",03170,세종스포츠클럽,체력단련장업,사립
